BATCH_LAB_ID,LAT,LON,BBOT,BTOP,METHOD,SOC,W350,W360,W370,W380,W390,W400,W410,W420,W430,W440,W450,W460,W470,W480,W490,W500,W510,W520,W530,W540,W550,W560,W570,W580,W590,W600,W610,W620,W630,W640,W650,W660,W670,W680,W690,W700,W710,W720,W730,W740,W750,W760,W770,W780,W790,W800,W810,W820,W830,W840,W850,W860,W870,W880,W890,W900,W910,W920,W930,W940,W950,W960,W970,W980,W990,W1000,W1010,W1020,W1030,W1040,W1050,W1060,W1070,W1080,W1090,W1100,W1110,W1120,W1130,W1140,W1150,W1160,W1170,W1180,W1190,W1200,W1210,W1220,W1230,W1240,W1250,W1260,W1270,W1280,W1290,W1300,W1310,W1320,W1330,W1340,W1350,W1360,W1370,W1380,W1390,W1400,W1410,W1420,W1430,W1440,W1450,W1460,W1470,W1480,W1490,W1500,W1510,W1520,W1530,W1540,W1550,W1560,W1570,W1580,W1590,W1600,W1610,W1620,W1630,W1640,W1650,W1660,W1670,W1680,W1690,W1700,W1710,W1720,W1730,W1740,W1750,W1760,W1770,W1780,W1790,W1800,W1810,W1820,W1830,W1840,W1850,W1860,W1870,W1880,W1890,W1900,W1910,W1920,W1930,W1940,W1950,W1960,W1970,W1980,W1990,W2000,W2010,W2020,W2030,W2040,W2050,W2060,W2070,W2080,W2090,W2100,W2110,W2120,W2130,W2140,W2150,W2160,W2170,W2180,W2190,W2200,W2210,W2220,W2230,W2240,W2250,W2260,W2270,W2280,W2290,W2300,W2310,W2320,W2330,W2340,W2350,W2360,W2370,W2380,W2390,W2400,W2410,W2420,W2430,W2440,W2450,W2460,W2470,W2480,W2490,W2500
FS15R_FS4076,-33.79543,115.665955,14,0,FIELD_SPEC_FR,0.4126824079263939,0.0872665,0.0722935,0.0678825,0.0712785,0.070909,0.075602,0.078873,0.0821925,0.0881965,0.0956745,0.1012125,0.1044555,0.1062055,0.109092,0.1145435,0.122153,0.1305205,0.1393055,0.1489215,0.160352,0.173517,0.1881575,0.202385,0.21638,0.2280955,0.2375015,0.244517,0.249698,0.2561045,0.2684465,0.2794795,0.28852,0.2973955,0.305936,0.314559,0.323099,0.331375,0.339592,0.3472485,0.354261,0.360843,0.366496,0.371538,0.375838,0.37922,0.38199,0.3844045,0.3862965,0.3878465,0.389341,0.3906645,0.391895,0.39334,0.395002,0.396713,0.398704,0.400701,0.4032125,0.4060235,0.40866,0.4112415,0.4144525,0.417321,0.4199575,0.4231125,0.4265115,0.4307035,0.434481,0.4387285,0.442741,0.446368,0.45033,0.454616,0.458686,0.463016,0.4674405,0.4717045,0.4761935,0.480694,0.485056,0.4890525,0.4928,0.4965275,0.500129,0.5036575,0.507081,0.5103125,0.5131005,0.5153915,0.517424,0.519965,0.5224105,0.524574,0.526138,0.5267135,0.526837,0.5269605,0.527514,0.527788,0.5282835,0.526583,0.5225555,0.5197035,0.50625,0.4815335,0.471561,0.46395,0.4660705,0.505398,0.517143,0.521646,0.524562,0.527075,0.53001,0.532752,0.5350985,0.5377055,0.5400435,0.542009,0.5436705,0.544976,0.546282,0.547475,0.5486765,0.549813,0.5509745,0.551966,0.552754,0.5536715,0.5544105,0.5550095,0.5555625,0.556029,0.5562505,0.556495,0.5567385,0.556715,0.556333,0.555742,0.555377,0.5547565,0.554117,0.553385,0.552534,0.551533,0.551474,0.547764,0.5487145,0.5500815,0.5504835,0.551217,0.5500185,0.542095,0.5263375,0.503545,0.47419,0.454341,0.450898,0.4546475,0.4600455,0.466944,0.4740795,0.481554,0.489175,0.497171,0.504758,0.5114665,0.5167325,0.5204295,0.5230885,0.5243495,0.5253425,0.5254285,0.524229,0.52361,0.5231595,0.519317,0.518384,0.514404,0.496399,0.4595355,0.430382,0.423086,0.420313,0.4090785,0.379284,0.364986,0.4338765,0.454211,0.4526515,0.4583785,0.4575725,0.452615,0.4452895,0.438905,0.4311345,0.421891,0.4165735,0.417749,0.4171965,0.407596,0.402104,0.398858,0.387039,0.3887285,0.395198,0.394691,0.388342,0.3783225,0.3636425,0.3551885,0.3509985,0.347304,0.339293,0.336794,0.3427605
FS15R_FS4077,-35.264217,140.69643,27,14,FIELD_SPEC_FR,0.9276693362742108,0.091761,0.0708215,0.06902,0.070133,0.0722155,0.0761075,0.0790025,0.0831185,0.0890665,0.096771,0.1031065,0.105988,0.1079785,0.110931,0.1164305,0.125237,0.1345535,0.144735,0.156168,0.1703035,0.187658,0.20771,0.2279915,0.2488045,0.2666595,0.2801015,0.2890905,0.2933675,0.299805,0.319084,0.3351695,0.3467455,0.357195,0.3671705,0.377053,0.3868885,0.3963185,0.4057415,0.4142905,0.421924,0.4285265,0.433807,0.4377195,0.44046,0.4417965,0.442148,0.4421525,0.441284,0.4401585,0.4389675,0.4378945,0.436873,0.4360225,0.4358,0.436009,0.436548,0.4372395,0.4387295,0.4407185,0.443051,0.444914,0.4474875,0.44996,0.4523235,0.455659,0.45936,0.463231,0.4674515,0.471818,0.475925,0.480256,0.484552,0.4893185,0.4941475,0.499226,0.504412,0.509601,0.514919,0.5203785,0.5257875,0.530485,0.5351275,0.53962,0.543987,0.548193,0.5521905,0.555669,0.5586825,0.560593,0.562325,0.564985,0.567593,0.5696245,0.570679,0.5700245,0.56864,0.5672965,0.566865,0.565935,0.5653335,0.5615515,0.553874,0.5478965,0.526649,0.491596,0.4783735,0.4685315,0.4724215,0.524928,0.5418485,0.5482215,0.552025,0.555066,0.5587365,0.5620415,0.5648635,0.567964,0.5705275,0.572572,0.574322,0.575555,0.576742,0.577717,0.5787855,0.579745,0.5805705,0.5812895,0.5818365,0.582305,0.582709,0.5830125,0.583248,0.583407,0.583272,0.5830405,0.5830045,0.582532,0.5817625,0.5806015,0.579515,0.5784295,0.5769535,0.57561,0.573783,0.572067,0.57109,0.5674865,0.5677935,0.568673,0.568393,0.5691955,0.5667675,0.5547385,0.532464,0.5064575,0.4734195,0.4515345,0.449368,0.4551985,0.46165,0.46892,0.4768885,0.485,0.4935175,0.502028,0.5100715,0.5172325,0.522808,0.526776,0.5297245,0.53123,0.532071,0.5310775,0.5289045,0.5271515,0.5259905,0.519921,0.5177505,0.5119995,0.4896255,0.444973,0.410742,0.402429,0.3996585,0.3872485,0.3544105,0.340413,0.416946,0.4401315,0.438598,0.4464975,0.4465845,0.4409955,0.432286,0.4248025,0.4160385,0.4043855,0.3988745,0.398748,0.396987,0.385835,0.380139,0.376023,0.3641945,0.364554,0.371276,0.3721395,0.3646865,0.353332,0.338953,0.3333995,0.325874,0.3241445,0.3262075,0.326426,0.3308885
FS15R_FS4078,-33.965702,119.02078,41,27,FIELD_SPEC_FR,0.49764294431475364,0.0890905,0.069347,0.069658,0.0681965,0.0700505,0.071531,0.072116,0.0752225,0.0802115,0.0871525,0.0930845,0.095493,0.0970285,0.099638,0.1048895,0.1130255,0.121667,0.1312,0.142452,0.157581,0.177754,0.2034675,0.2324945,0.2636825,0.291163,0.3126855,0.326263,0.3321205,0.3391855,0.361279,0.37881,0.3904755,0.4010685,0.4115435,0.4222545,0.4333245,0.444342,0.455127,0.464832,0.472544,0.478505,0.482057,0.48298,0.4818435,0.4784495,0.473943,0.46898,0.4635075,0.4578795,0.4527425,0.447842,0.4435275,0.4400345,0.4376355,0.4361375,0.4352945,0.435196,0.435892,0.43729,0.4390945,0.441068,0.443844,0.4461865,0.449021,0.453461,0.4578475,0.462449,0.467199,0.4723765,0.477415,0.4825375,0.488053,0.4940425,0.5002335,0.5067575,0.5137485,0.5209305,0.5283305,0.5358455,0.54312,0.5503215,0.5568885,0.563503,0.569822,0.5756995,0.581183,0.586052,0.58992,0.592218,0.593882,0.597347,0.600369,0.602632,0.603143,0.600571,0.596869,0.5931415,0.591156,0.5884635,0.5863235,0.5791765,0.565815,0.555427,0.522399,0.4745015,0.45848,0.446149,0.451228,0.5199275,0.544095,0.5529285,0.5581225,0.56247,0.567456,0.572012,0.575816,0.5801,0.5836335,0.586321,0.5884465,0.590198,0.5916185,0.5926455,0.5934945,0.5943605,0.5949635,0.595316,0.5954635,0.595501,0.5955215,0.595416,0.595263,0.594952,0.594458,0.5937705,0.593067,0.5920635,0.5905815,0.5887085,0.586667,0.58439,0.5819055,0.579139,0.5761455,0.5728365,0.5707275,0.5660565,0.5658185,0.566649,0.5654275,0.5658795,0.561464,0.5423195,0.5108485,0.481249,0.4443745,0.4189475,0.416788,0.4235885,0.4305245,0.438329,0.44673,0.45546,0.4649115,0.474238,0.4828425,0.4910165,0.497704,0.502811,0.506096,0.5084015,0.508731,0.5068605,0.503826,0.5006745,0.498901,0.490392,0.4868695,0.478469,0.450335,0.3991705,0.361083,0.351953,0.348918,0.3368285,0.3030435,0.2894625,0.370583,0.396118,0.3944445,0.405039,0.40562,0.399241,0.389894,0.3810945,0.3704925,0.3576495,0.3504865,0.3496645,0.347391,0.3344295,0.328155,0.3221915,0.3101025,0.3107085,0.318046,0.3179705,0.31135,0.300105,0.2866255,0.280191,0.276309,0.276022,0.2687245,0.279947,0.275649
FS15R_FS4079,-36.93116,145.15424,72,41,FIELD_SPEC_FR,0.38638571284127166,0.0949445,0.088997,0.081051,0.083512,0.085434,0.0863955,0.0875195,0.090224,0.0958095,0.103307,0.110376,0.11468,0.117419,0.1210645,0.1265775,0.1342995,0.143172,0.15271,0.1642495,0.1799105,0.2012245,0.227965,0.258068,0.291413,0.321481,0.345107,0.3603215,0.3664505,0.3761835,0.4074855,0.43277,0.449852,0.464499,0.47794,0.491075,0.503786,0.5157525,0.52697,0.53651,0.5440295,0.549547,0.552472,0.55313,0.5518235,0.5484065,0.5438675,0.5389435,0.5335045,0.5280255,0.5231745,0.518623,0.514628,0.5119305,0.5101675,0.5091835,0.5092715,0.5098415,0.511685,0.514594,0.5174665,0.520075,0.5242755,0.5274635,0.534265,0.539794,0.544868,0.551051,0.557133,0.563333,0.5692295,0.5754015,0.5814585,0.5878495,0.5945835,0.6015165,0.608734,0.615931,0.6233905,0.6310555,0.6381855,0.645049,0.651531,0.6583025,0.665331,0.671721,0.6779415,0.683341,0.687756,0.689887,0.6916935,0.6963245,0.7012005,0.704919,0.7057765,0.701659,0.6955475,0.689697,0.6865555,0.682486,0.678988,0.66723,0.645948,0.627496,0.576197,0.5121515,0.497986,0.4788405,0.4913825,0.5777745,0.609502,0.62376,0.6334975,0.6417785,0.6515045,0.6599345,0.6672785,0.676029,0.6830725,0.6884505,0.6930965,0.6968695,0.700293,0.7033435,0.7058115,0.707955,0.7100275,0.711589,0.7127085,0.713323,0.713897,0.7142145,0.7142195,0.713838,0.7128205,0.711586,0.710289,0.708339,0.705734,0.7023995,0.6988555,0.6947025,0.6900875,0.684609,0.678658,0.6724445,0.668478,0.662309,0.6615365,0.662041,0.65906,0.658993,0.650966,0.619708,0.5712495,0.5263985,0.4727675,0.436461,0.4352925,0.446532,0.456585,0.4663515,0.4770245,0.4883445,0.500455,0.5128955,0.5242905,0.535152,0.5441195,0.5509825,0.5558815,0.558771,0.5593325,0.5567035,0.5528365,0.5486945,0.545031,0.5334045,0.5279445,0.516349,0.4815835,0.421826,0.3791725,0.3680725,0.3624125,0.345657,0.3060175,0.2982435,0.3891075,0.4201955,0.420183,0.4290085,0.428639,0.421333,0.4103995,0.398869,0.386208,0.3720475,0.364169,0.3631175,0.3589495,0.343742,0.337415,0.331701,0.316751,0.3167355,0.324661,0.325006,0.316872,0.307036,0.291386,0.2859935,0.2800075,0.281164,0.280671,0.2878555,0.290292
FS15R_FS4080,-35.888054,145.84871,110,72,FIELD_SPEC_FR,0.18512969150030556,0.0912385,0.0657125,0.065946,0.066217,0.066276,0.064272,0.06352,0.0652515,0.068709,0.073275,0.0782495,0.0812845,0.08334,0.0858915,0.089951,0.0955865,0.101957,0.108577,0.1170215,0.1294585,0.147663,0.173681,0.207542,0.2474375,0.285601,0.3209685,0.3490865,0.370664,0.3884025,0.40691,0.422571,0.4358905,0.449297,0.462801,0.476913,0.491044,0.5049,0.5176775,0.528043,0.535112,0.5388695,0.5387055,0.5353775,0.5295585,0.5220305,0.5136315,0.5053005,0.497085,0.4896175,0.483272,0.4780185,0.474049,0.471377,0.470352,0.47055,0.4719165,0.4742065,0.4781125,0.4829775,0.4883855,0.494157,0.5010565,0.5072895,0.517448,0.5257835,0.534281,0.5425535,0.55065,0.5587525,0.5667515,0.5745425,0.5821515,0.590691,0.5990875,0.6081165,0.6171175,0.6262325,0.6358455,0.645558,0.6548925,0.664003,0.6725085,0.681255,0.6896855,0.697585,0.704844,0.7112095,0.7165775,0.7194295,0.7215685,0.7263,0.730937,0.7344175,0.7351705,0.7310675,0.7250605,0.719421,0.716159,0.7119145,0.708388,0.6974345,0.678144,0.6643575,0.621127,0.5586715,0.5377735,0.524158,0.532294,0.616565,0.6478835,0.660217,0.667727,0.6741515,0.681723,0.6884975,0.694309,0.700773,0.7058465,0.709908,0.713308,0.7161795,0.7184255,0.7200785,0.7214175,0.7227635,0.7236495,0.7240895,0.724374,0.7242425,0.7241385,0.723742,0.723394,0.7229435,0.722153,0.7211075,0.72012,0.718636,0.71661,0.713786,0.7104925,0.7067235,0.702662,0.6982365,0.6931,0.687771,0.684521,0.6776405,0.6768625,0.677502,0.6752415,0.67512,0.6682835,0.641416,0.6005685,0.5632865,0.516752,0.4859265,0.485423,0.4955385,0.5043865,0.512925,0.5219265,0.5320175,0.5422275,0.5530305,0.5631915,0.572823,0.5811045,0.587943,0.5929675,0.595782,0.5967255,0.5944735,0.5908205,0.5871,0.5847425,0.573662,0.5685245,0.558602,0.524168,0.4629825,0.419264,0.4098255,0.406615,0.391454,0.352327,0.3372265,0.4314035,0.46119,0.459356,0.470029,0.471134,0.4633375,0.4516505,0.4411885,0.4285925,0.4141135,0.405698,0.4049265,0.4020705,0.387624,0.379003,0.373481,0.3586435,0.359863,0.3684695,0.3697815,0.361111,0.348867,0.333307,0.325529,0.3235965,0.3233355,0.320587,0.325964,0.324467
FS15R_FS4081,-41.387768,146.16762,155,110,FIELD_SPEC_FR,0.22113942765622452,0.091103,0.0776805,0.071049,0.069468,0.0682315,0.068433,0.069308,0.071182,0.075677,0.0807565,0.085901,0.0897705,0.0925225,0.0952615,0.1001755,0.1066815,0.113874,0.1217295,0.1314415,0.1450085,0.164556,0.1913225,0.225047,0.2631555,0.2980375,0.329246,0.353501,0.372089,0.3878245,0.405385,0.4204715,0.4335765,0.446516,0.459242,0.4723165,0.4851705,0.497619,0.5093065,0.5190325,0.526222,0.5310955,0.53296,0.5325225,0.5297835,0.5253405,0.519878,0.514236,0.5082155,0.5024745,0.4973905,0.4930895,0.4894555,0.4871475,0.485999,0.485936,0.4867765,0.48836,0.491342,0.495209,0.4994395,0.503718,0.508804,0.5137215,0.520591,0.5273415,0.5338535,0.5402155,0.5466755,0.552965,0.5590305,0.564684,0.5706075,0.577093,0.5833605,0.5902885,0.5971575,0.604142,0.6115415,0.618529,0.6253665,0.6319455,0.638101,0.644721,0.6511615,0.657387,0.663272,0.66871,0.673431,0.6763915,0.679186,0.683811,0.6884075,0.6922155,0.694087,0.6923565,0.68946,0.6864875,0.685374,0.6832935,0.681623,0.6740075,0.659337,0.6474565,0.6089265,0.553564,0.5337805,0.517319,0.5223935,0.592476,0.6194535,0.632885,0.6419705,0.6494455,0.6584425,0.6665775,0.6737405,0.6812,0.687403,0.692446,0.6967555,0.700485,0.7039555,0.706714,0.709241,0.7112765,0.7129655,0.7145445,0.7157735,0.716599,0.7174115,0.7178975,0.718097,0.7183215,0.718169,0.7177875,0.7173175,0.7162115,0.7147565,0.7124675,0.7094345,0.7061735,0.702274,0.697754,0.693149,0.6885495,0.6859395,0.679983,0.679566,0.680263,0.677926,0.6769065,0.669177,0.6421405,0.59992,0.553757,0.498513,0.463793,0.4645745,0.476345,0.4862925,0.4957005,0.5058745,0.516589,0.5279685,0.539932,0.5515725,0.562443,0.572092,0.580113,0.587014,0.591512,0.5940045,0.593663,0.5919995,0.5900135,0.5884665,0.580037,0.5760915,0.567542,0.537298,0.4812455,0.4399975,0.4299955,0.4252805,0.4094525,0.370593,0.356271,0.442789,0.4687465,0.464872,0.4730495,0.473359,0.465062,0.4530125,0.4417095,0.4308635,0.4179385,0.410924,0.4100065,0.407403,0.393286,0.385237,0.380243,0.36665,0.366707,0.3737365,0.3745705,0.367015,0.354303,0.341063,0.3333075,0.3288435,0.3279175,0.325482,0.328725,0.3239865
FS15R_FS4082,-28.763275,150.55467,175,155,FIELD_SPEC_FR,0.6108273634833736,0.0949205,0.0806275,0.074775,0.073065,0.074363,0.0747895,0.073589,0.076097,0.0800835,0.086487,0.092135,0.0963975,0.0992665,0.1029825,0.1082025,0.115281,0.1231375,0.131665,0.1420985,0.156357,0.17641,0.2035265,0.2371305,0.2740275,0.307506,0.337463,0.360695,0.378881,0.3944425,0.411325,0.4262405,0.439395,0.4524335,0.465361,0.4782715,0.4911675,0.503418,0.5150445,0.5245555,0.531925,0.537625,0.5403925,0.5409515,0.539427,0.535996,0.53153,0.5271665,0.5221295,0.5173135,0.5128675,0.5090315,0.5058995,0.5038115,0.5028175,0.50274,0.503571,0.5051295,0.5077,0.5110835,0.5146455,0.5182735,0.522856,0.5271245,0.5341025,0.5397015,0.5456325,0.552026,0.5578015,0.5637315,0.5694035,0.575255,0.581045,0.5871085,0.5931345,0.599525,0.6059465,0.612482,0.6192475,0.6259885,0.6324005,0.638181,0.643819,0.6501645,0.6566215,0.6626705,0.668491,0.6738145,0.6784235,0.681261,0.6838805,0.68861,0.693386,0.69733,0.6991685,0.6974205,0.6940705,0.6906995,0.6889675,0.686336,0.6840705,0.674948,0.6589435,0.6456545,0.6031645,0.544012,0.521446,0.5012035,0.506797,0.574769,0.60304,0.618597,0.628395,0.6362295,0.646668,0.656699,0.6655235,0.67406,0.681381,0.6875495,0.6930145,0.6974725,0.701471,0.7047115,0.7076005,0.7099675,0.712231,0.7138675,0.71542,0.716647,0.717808,0.7185655,0.71917,0.71931,0.719086,0.7187885,0.7179955,0.7167955,0.7151115,0.712933,0.709376,0.705676,0.701413,0.696712,0.691277,0.6859765,0.6826985,0.677195,0.676036,0.6762895,0.6732845,0.671569,0.6614435,0.63261,0.584904,0.5272135,0.461021,0.424771,0.4294935,0.4453595,0.4576875,0.467229,0.477739,0.488372,0.5005765,0.513629,0.52645,0.538842,0.550051,0.5598595,0.5677965,0.573134,0.5765945,0.5772205,0.5763605,0.5755605,0.5745745,0.567249,0.564177,0.5563185,0.526974,0.473471,0.4334735,0.423861,0.41876,0.40075,0.3618275,0.349874,0.4323695,0.457701,0.4552025,0.462311,0.4628405,0.4545455,0.441593,0.4297665,0.4193935,0.406907,0.3995235,0.398506,0.39444,0.381692,0.3741965,0.3675925,0.353892,0.353825,0.36109,0.359416,0.352411,0.3408675,0.3280825,0.321209,0.3188935,0.319355,0.321188,0.321043,0.32604
FS15R_FS4084,-30.865568,150.90154,36,9,FIELD_SPEC_FR,0.3780182046177494,0.0638735,0.0531665,0.0520745,0.053676,0.0548285,0.055085,0.0558275,0.0581595,0.0636845,0.0693495,0.073487,0.07406,0.073832,0.076162,0.0814245,0.089063,0.0974765,0.106159,0.116864,0.130292,0.146955,0.166677,0.188231,0.2098495,0.227339,0.2412985,0.2511655,0.258279,0.264097,0.2695405,0.274754,0.279945,0.2857225,0.292045,0.299254,0.3070295,0.315087,0.3232705,0.330704,0.337084,0.3418685,0.3447255,0.3457615,0.344948,0.342614,0.339203,0.3351435,0.330562,0.3259025,0.321525,0.3173755,0.313669,0.3105015,0.308124,0.3062825,0.3048725,0.3041365,0.304028,0.3047135,0.305748,0.3068675,0.3085495,0.3103775,0.3115445,0.314026,0.3166625,0.3197675,0.323238,0.326706,0.330431,0.33399,0.337947,0.3422375,0.346985,0.351945,0.3572325,0.362535,0.3681715,0.374056,0.379878,0.385661,0.3910515,0.396361,0.401474,0.4064765,0.411238,0.415637,0.419684,0.4228095,0.4256405,0.428436,0.4310665,0.4333395,0.434853,0.4355645,0.435828,0.435953,0.436383,0.436647,0.4369905,0.4359095,0.432957,0.430308,0.420079,0.401683,0.393573,0.387189,0.388382,0.41498,0.419723,0.42075,0.4226805,0.4263215,0.4295835,0.431293,0.4324535,0.433573,0.4341355,0.435321,0.4359345,0.436064,0.437,0.4379525,0.4384715,0.4387545,0.4389895,0.439095,0.4390585,0.4389565,0.4388755,0.438682,0.4385175,0.4383585,0.4379625,0.437673,0.4373475,0.4368125,0.436075,0.435349,0.4342895,0.433103,0.431876,0.430725,0.429492,0.428425,0.427859,0.4236255,0.42378,0.424491,0.4247195,0.4247965,0.4236055,0.4177215,0.406446,0.3937845,0.377117,0.363868,0.359461,0.360064,0.3622825,0.3656525,0.37006,0.3749605,0.380095,0.385063,0.389796,0.3940955,0.397473,0.4005725,0.402836,0.4044615,0.40511,0.405297,0.4049765,0.404674,0.404852,0.4024745,0.401561,0.3986165,0.3860345,0.359827,0.337861,0.331165,0.3277635,0.317506,0.2948875,0.2863965,0.33353,0.344781,0.339681,0.335606,0.3307575,0.3253225,0.326507,0.325564,0.3221975,0.3155825,0.3133505,0.3140005,0.3128355,0.3045735,0.2996855,0.2975235,0.289738,0.28966,0.2943145,0.2936805,0.2894595,0.2814515,0.2727665,0.26865,0.26593,0.267394,0.2630765,0.2650595,0.2638915
FS15R_FS4085,-31.732342,115.79743,72,36,FIELD_SPEC_FR,0.3421629088186162,0.061739,0.0505045,0.047442,0.0476945,0.049629,0.0501745,0.0506385,0.0531835,0.057982,0.0634855,0.067347,0.0677575,0.067096,0.0693315,0.0743755,0.0814525,0.0892945,0.097902,0.1085135,0.1222075,0.1394965,0.1605915,0.1845945,0.209171,0.2296075,0.246075,0.2574485,0.2651315,0.270984,0.276185,0.2809955,0.2858235,0.291677,0.298214,0.3056895,0.314004,0.3227055,0.331586,0.33968,0.3463265,0.351178,0.3535865,0.3538765,0.352096,0.3483805,0.3435765,0.3381425,0.3322675,0.3263285,0.32074,0.315591,0.310917,0.306994,0.303918,0.3016655,0.2998195,0.2987625,0.2984695,0.2988455,0.2995485,0.3004885,0.3019475,0.3038475,0.305834,0.308076,0.310901,0.3140005,0.31755,0.3208155,0.324754,0.3283905,0.3323905,0.3367785,0.3416485,0.3467515,0.3521375,0.357643,0.3635775,0.3696105,0.375704,0.381611,0.387329,0.392939,0.398274,0.4033885,0.4084715,0.4128725,0.416939,0.420157,0.422992,0.4258275,0.4284405,0.430582,0.431965,0.4324975,0.432523,0.432451,0.4327055,0.432817,0.4328265,0.4313455,0.4278805,0.424811,0.413476,0.393577,0.384879,0.3781395,0.379885,0.4082135,0.4132555,0.414377,0.416325,0.4202075,0.4236125,0.425367,0.426634,0.4276505,0.428332,0.429458,0.4299195,0.430006,0.431002,0.4318975,0.4323355,0.432595,0.432746,0.4328195,0.4325975,0.4324675,0.43224,0.432028,0.4318825,0.4316675,0.431306,0.430969,0.430673,0.430204,0.429519,0.42844,0.427286,0.426048,0.4247695,0.42346,0.4221225,0.420944,0.420389,0.4167255,0.4172925,0.417617,0.4176045,0.417914,0.4162615,0.409528,0.3975765,0.385299,0.369597,0.3567555,0.3530875,0.353966,0.35604,0.3595825,0.3636585,0.3683725,0.373326,0.3781365,0.382867,0.386975,0.3908545,0.393826,0.396315,0.397619,0.398797,0.398656,0.398358,0.3978895,0.3978845,0.3953805,0.394319,0.390849,0.3773675,0.3504285,0.3277995,0.3207355,0.316989,0.307033,0.283482,0.2757595,0.3235395,0.335316,0.330339,0.3264245,0.3219875,0.3169305,0.3185935,0.3174705,0.3136605,0.307281,0.3046895,0.3052385,0.303586,0.295048,0.290328,0.2873935,0.2795565,0.280107,0.2842815,0.2833015,0.279047,0.271887,0.263713,0.258356,0.2571205,0.256613,0.2556325,0.264612,0.259878
FS15R_FS4086,-31.873697,132.42627,102,72,FIELD_SPEC_FR,0.9073085631960501,0.064619,0.0513725,0.047279,0.04953,0.0512865,0.050792,0.0522385,0.053508,0.057438,0.0624185,0.065711,0.066037,0.065985,0.067653,0.0720455,0.0784825,0.0857325,0.0938505,0.1036065,0.1165675,0.133447,0.1542035,0.1780675,0.203068,0.2241705,0.2415765,0.253738,0.262255,0.268623,0.274179,0.2791985,0.284449,0.290592,0.2974755,0.30546,0.3141355,0.3232675,0.3325195,0.340916,0.3477965,0.3528855,0.3553645,0.3555565,0.3536535,0.3497395,0.344748,0.3390535,0.332832,0.3266875,0.320974,0.315723,0.3109135,0.307047,0.3038295,0.30153,0.2997085,0.2987015,0.2985625,0.29909,0.2999715,0.30113,0.3027335,0.3049675,0.3071315,0.3099805,0.3130495,0.3162325,0.3197605,0.3236665,0.3276175,0.3314385,0.335852,0.3405915,0.345478,0.350984,0.3565895,0.362368,0.368584,0.374925,0.3813255,0.387666,0.393567,0.399543,0.4051635,0.4105275,0.415737,0.42055,0.424691,0.4281085,0.431063,0.434123,0.4368555,0.439032,0.440724,0.4412085,0.4412875,0.4411185,0.4413235,0.441365,0.441512,0.4400315,0.4363135,0.432942,0.4206875,0.399391,0.3901485,0.3833275,0.385179,0.415737,0.421483,0.4227755,0.4249885,0.429151,0.4328315,0.434813,0.436025,0.437272,0.437945,0.439286,0.4398505,0.4399455,0.4409905,0.442113,0.44261,0.44292,0.443163,0.4432305,0.4431265,0.4428585,0.442756,0.4424815,0.4423265,0.442146,0.441907,0.441498,0.4412145,0.440886,0.4402375,0.439271,0.4379655,0.4364465,0.4352105,0.4339315,0.432523,0.4312765,0.4305705,0.4269155,0.4269625,0.427469,0.427717,0.4277625,0.4261925,0.418882,0.4053245,0.3930035,0.3773255,0.364117,0.3605055,0.3616895,0.363983,0.36772,0.3718145,0.376216,0.3813265,0.386454,0.391113,0.395577,0.3995045,0.402848,0.4054605,0.407483,0.4085155,0.4083565,0.4079415,0.407555,0.407179,0.4043095,0.403139,0.3992195,0.384769,0.3553825,0.3314865,0.3243405,0.3205555,0.3100455,0.2851435,0.276554,0.328177,0.340833,0.3361305,0.3322525,0.3275585,0.3224365,0.3238015,0.3227145,0.318385,0.311635,0.307952,0.3092545,0.307658,0.299511,0.294121,0.289911,0.281979,0.283191,0.2868605,0.287574,0.2829945,0.2736075,0.2642215,0.2612965,0.259307,0.2571535,0.2586055,0.257526,0.260196
